YEAR,MO,DY,WS10M_MAX,WS10M_MIN,WD10M
1982,2,24,7.66,4.35,286.0
1982,2,25,12.92,7.05,265.69
1982,2,26,10.16,8.52,290.62
1982,2,27,10.91,2.2,302.62
1982,2,28,2.9,1.38,169.44
1982,3,1,4.6,1.84,232.56
1982,3,2,7.93,1.97,233.69
1982,3,3,4.05,0.5,142.75
1982,3,4,11.02,3.54,257.5
1982,3,5,8.75,6.88,319.06
1982,3,6,7.26,3.52,340.12
1982,3,7,3.63,0.38,170.88
1982,3,8,6.05,0.39,230.31
1982,3,9,7.75,2.02,66.94
1982,3,10,4.77,0.55,101.06
1982,3,11,5.82,0.66,222.69
1982,3,12,5.95,3.32,87.38
1982,3,13,11.0,1.12,65.0
1982,3,14,9.2,7.82,78.19
1982,3,15,8.3,1.61,82.56
1982,3,16,3.45,1.07,157.69
1982,3,17,4.99,1.65,233.0
1982,3,18,5.61,0.78,193.44
1982,3,19,5.33,1.6,258.12
1982,3,20,7.27,3.33,257.88
1982,3,21,6.12,3.4,190.0
1982,3,22,3.94,1.93,109.44
1982,3,23,8.57,2.54,38.25
1982,3,24,7.68,3.41,43.0
1982,3,25,7.99,5.56,85.94
1982,3,26,5.1,1.84,114.62
1982,3,27,5.27,1.02,145.5
1982,3,28,6.14,3.16,46.62
1982,3,29,4.48,1.18,216.0
1982,3,30,7.41,1.36,246.06
1982,3,31,5.8,0.56,147.69
1982,4,1,9.65,2.09,249.25
1982,4,2,9.16,0.5,282.12
1982,4,3,6.43,0.33,115.62
1982,4,4,8.21,0.65,171.44
1982,4,5,8.72,3.44,233.06
1982,4,6,6.57,2.1,316.88
1982,4,7,3.8,2.11,115.38
1982,4,8,3.31,0.27,154.0
1982,4,9,3.12,0.57,230.56
1982,4,10,4.88,0.75,151.44
1982,4,11,7.69,3.87,72.5
1982,4,12,8.83,4.61,81.12
1982,4,13,5.68,0.85,159.69
1982,4,14,7.83,4.14,46.44
1982,4,15,7.91,3.81,49.12
1982,4,16,5.37,2.77,86.25
1982,4,17,4.67,2.55,157.19
1982,4,18,4.84,1.16,214.0
1982,4,19,6.12,1.07,250.94
1982,4,20,5.53,1.02,199.56
1982,4,21,6.03,0.4,125.06
1982,4,22,8.59,5.95,83.94
1982,4,23,7.7,5.15,62.88
1982,4,24,4.56,0.71,149.44
1982,4,25,9.35,1.88,63.31
1982,4,26,8.45,6.09,59.75
1982,4,27,7.75,2.05,87.44
1982,4,28,6.6,2.78,326.12
1982,4,29,3.8,0.66,270.62
1982,4,30,4.49,0.75,258.56
1982,5,1,6.79,3.11,48.25
1982,5,2,5.03,2.63,95.44
1982,5,3,7.1,2.52,106.75
1982,5,4,10.04,3.01,202.69
1982,5,5,8.13,0.32,221.25
1982,5,6,11.65,0.64,101.06
1982,5,7,15.08,11.19,53.81
1982,5,8,12.01,2.25,85.19
1982,5,9,13.62,2.15,46.62
1982,5,10,12.96,2.93,53.06
